,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
172,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(177.9, 183.8]","(3420.0, 3780.0]"
173,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
174,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(183.8, 189.7]","(2696.4, 3060.0]"
175,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(189.7, 195.6]","(3780.0, 4140.0]"
176,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
177,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(195.6, 201.5]","(4140.0, 4500.0]"
178,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(3060.0, 3420.0]"
179,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
180,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
181,Chinstrap,"(51.35, 54.1]","(19.82, 20.66]","(201.5, 207.4]","(4500.0, 4860.0]"
182,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
183,Chinstrap,"(54.1, 56.85]","(20.66, 21.5]","(195.6, 201.5]","(4140.0, 4500.0]"
184,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
185,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(201.5, 207.4]","(3780.0, 4140.0]"
186,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
187,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(195.6, 201.5]","(3780.0, 4140.0]"
188,Chinstrap,"(45.85, 48.6]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
189,Chinstrap,"(51.35, 54.1]","(20.66, 21.5]","(207.4, 213.3]","(4500.0, 4860.0]"
190,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(189.7, 195.6]","(2696.4, 3060.0]"
191,Chinstrap,"(51.35, 54.1]","(19.82, 20.66]","(201.5, 207.4]","(4140.0, 4500.0]"
192,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(3780.0, 4140.0]"
193,Chinstrap,"(45.85, 48.6]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
194,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(195.6, 201.5]","(3420.0, 3780.0]"
195,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
196,Chinstrap,"(48.6, 51.35]","(17.3, 18.14]","(195.6, 201.5]","(3420.0, 3780.0]"
197,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(4140.0, 4500.0]"
198,Chinstrap,"(48.6, 51.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
199,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(4140.0, 4500.0]"
200,Chinstrap,"(51.35, 54.1]","(18.14, 18.98]","(183.8, 189.7]","(3060.0, 3420.0]"
201,Chinstrap,"(48.6, 51.35]","(16.46, 17.3]","(195.6, 201.5]","(3420.0, 3780.0]"
202,Chinstrap,"(45.85, 48.6]","(15.62, 16.46]","(195.6, 201.5]","(3060.0, 3420.0]"
203,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
204,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
205,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
206,Chinstrap,"(40.35, 43.1]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
207,Chinstrap,"(51.35, 54.1]","(18.14, 18.98]","(195.6, 201.5]","(3420.0, 3780.0]"
208,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3060.0, 3420.0]"
209,Chinstrap,"(48.6, 51.35]","(19.82, 20.66]","(201.5, 207.4]","(3780.0, 4140.0]"
210,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(201.5, 207.4]","(3780.0, 4140.0]"
211,Chinstrap,"(43.1, 45.85]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
212,Chinstrap,"(51.35, 54.1]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
213,Chinstrap,"(45.85, 48.6]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
214,Chinstrap,"(43.1, 45.85]","(16.46, 17.3]","(189.7, 195.6]","(3420.0, 3780.0]"
215,Chinstrap,"(54.1, 56.85]","(18.98, 19.82]","(201.5, 207.4]","(3780.0, 4140.0]"
216,Chinstrap,"(43.1, 45.85]","(17.3, 18.14]","(201.5, 207.4]","(3060.0, 3420.0]"
217,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
218,Chinstrap,"(48.6, 51.35]","(18.98, 19.82]","(207.4, 213.3]","(3780.0, 4140.0]"
219,Chinstrap,"(48.6, 51.35]","(18.14, 18.98]","(195.6, 201.5]","(3420.0, 3780.0]"
220,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
221,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
222,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
223,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(213.3, 219.2]","(5580.0, 5940.0]"
224,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(5220.0, 5580.0]"
225,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(207.4, 213.3]","(4500.0, 4860.0]"
226,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
227,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
228,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
229,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
230,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
231,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(213.3, 219.2]","(5220.0, 5580.0]"
232,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
233,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(5580.0, 5940.0]"
234,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
235,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(213.3, 219.2]","(5580.0, 5940.0]"
236,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
237,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5940.0, 6300.0]"
238,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
239,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
240,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(213.3, 219.2]","(5580.0, 5940.0]"
241,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(4860.0, 5220.0]"
242,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
243,Gentoo,"(45.85, 48.6]","(15.62, 16.46]","(213.3, 219.2]","(4860.0, 5220.0]"
244,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(213.3, 219.2]","(4860.0, 5220.0]"
245,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
246,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(3780.0, 4140.0]"
247,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(5580.0, 5940.0]"
248,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
249,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
250,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
251,Gentoo,"(40.35, 43.1]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
252,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(201.5, 207.4]","(4860.0, 5220.0]"
253,Gentoo,"(56.85, 59.6]","(16.46, 17.3]","(225.1, 231.0]","(5940.0, 6300.0]"
254,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
255,Gentoo,"(45.85, 48.6]","(15.62, 16.46]","(219.2, 225.1]","(5220.0, 5580.0]"
256,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(207.4, 213.3]","(4860.0, 5220.0]"
257,Gentoo,"(43.1, 45.85]","(16.46, 17.3]","(213.3, 219.2]","(5220.0, 5580.0]"
258,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
259,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(207.4, 213.3]","(5220.0, 5580.0]"
260,Gentoo,"(40.35, 43.1]","(13.092, 13.94]","(207.4, 213.3]","(3780.0, 4140.0]"
261,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5580.0, 5940.0]"
262,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
263,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(213.3, 219.2]","(4500.0, 4860.0]"
264,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5220.0, 5580.0]"
265,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(213.3, 219.2]","(4860.0, 5220.0]"
266,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
267,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5220.0, 5580.0]"
268,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4860.0, 5220.0]"
269,Gentoo,"(43.1, 45.85]","(15.62, 16.46]","(213.3, 219.2]","(5220.0, 5580.0]"
270,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
271,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(219.2, 225.1]","(5220.0, 5580.0]"
272,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
273,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
274,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(4860.0, 5220.0]"
275,Gentoo,"(43.1, 45.85]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
276,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
277,Gentoo,"(43.1, 45.85]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
278,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4140.0, 4500.0]"
279,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
280,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4140.0, 4500.0]"
281,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
282,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(213.3, 219.2]","(4140.0, 4500.0]"
283,Gentoo,"(54.1, 56.85]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
284,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(4500.0, 4860.0]"
285,Gentoo,"(48.6, 51.35]","(16.46, 17.3]","(225.1, 231.0]","(5580.0, 5940.0]"
286,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(4500.0, 4860.0]"
287,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
288,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(219.2, 225.1]","(4500.0, 4860.0]"
289,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
290,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4500.0, 4860.0]"
291,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
292,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(219.2, 225.1]","(4860.0, 5220.0]"
293,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
294,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4500.0, 4860.0]"
295,Gentoo,"(45.85, 48.6]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
296,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
297,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5940.0, 6300.0]"
298,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
299,Gentoo,"(43.1, 45.85]","(15.62, 16.46]","(219.2, 225.1]","(5940.0, 6300.0]"
300,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
301,Gentoo,"(51.35, 54.1]","(14.78, 15.62]","(219.2, 225.1]","(5220.0, 5580.0]"
302,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
303,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5220.0, 5580.0]"
304,Gentoo,"(43.1, 45.85]","(13.092, 13.94]","(207.4, 213.3]","(4500.0, 4860.0]"
305,Gentoo,"(48.6, 51.35]","(16.46, 17.3]","(225.1, 231.0]","(5580.0, 5940.0]"
306,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(4500.0, 4860.0]"
307,Gentoo,"(48.6, 51.35]","(13.94, 14.78]","(213.3, 219.2]","(5220.0, 5580.0]"
308,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(207.4, 213.3]","(4860.0, 5220.0]"
309,Gentoo,"(51.35, 54.1]","(16.46, 17.3]","(225.1, 231.0]","(5220.0, 5580.0]"
310,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
311,Gentoo,"(51.35, 54.1]","(16.46, 17.3]","(225.1, 231.0]","(5220.0, 5580.0]"
312,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
313,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5580.0, 5940.0]"
314,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(213.3, 219.2]","(4500.0, 4860.0]"
315,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(225.1, 231.0]","(4860.0, 5220.0]"
316,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(213.3, 219.2]","(4860.0, 5220.0]"
317,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(219.2, 225.1]","(4860.0, 5220.0]"
318,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(201.5, 207.4]","(4500.0, 4860.0]"
319,Gentoo,"(48.6, 51.35]","(16.46, 17.3]","(219.2, 225.1]","(5220.0, 5580.0]"
320,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4500.0, 4860.0]"
321,Gentoo,"(54.1, 56.85]","(16.46, 17.3]","(225.1, 231.0]","(5580.0, 5940.0]"
322,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
323,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(225.1, 231.0]","(5220.0, 5580.0]"
324,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(213.3, 219.2]","(4500.0, 4860.0]"
325,Gentoo,"(45.85, 48.6]","(15.62, 16.46]","(213.3, 219.2]","(5220.0, 5580.0]"
326,Gentoo,"(40.35, 43.1]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
327,Gentoo,"(51.35, 54.1]","(15.62, 16.46]","(213.3, 219.2]","(5220.0, 5580.0]"
328,Gentoo,"(43.1, 45.85]","(13.94, 14.78]","(207.4, 213.3]","(4500.0, 4860.0]"
329,Gentoo,"(45.85, 48.6]","(14.78, 15.62]","(207.4, 213.3]","(5220.0, 5580.0]"
330,Gentoo,"(48.6, 51.35]","(14.78, 15.62]","(213.3, 219.2]","(4860.0, 5220.0]"
331,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(225.1, 231.0]","(5940.0, 6300.0]"
332,Gentoo,"(43.1, 45.85]","(14.78, 15.62]","(207.4, 213.3]","(4500.0, 4860.0]"
333,Gentoo,"(51.35, 54.1]","(15.62, 16.46]","(225.1, 231.0]","(5220.0, 5580.0]"
334,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(4140.0, 4500.0]"
335,Gentoo,"(54.1, 56.85]","(15.62, 16.46]","(225.1, 231.0]","(5580.0, 5940.0]"
336,Gentoo,"(43.1, 45.85]","(15.62, 16.46]","(213.3, 219.2]","(4860.0, 5220.0]"
337,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5940.0, 6300.0]"
338,Gentoo,"(45.85, 48.6]","(13.092, 13.94]","(213.3, 219.2]","(4860.0, 5220.0]"
340,Gentoo,"(45.85, 48.6]","(13.94, 14.78]","(213.3, 219.2]","(4500.0, 4860.0]"
341,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(219.2, 225.1]","(5580.0, 5940.0]"
342,Gentoo,"(43.1, 45.85]","(14.78, 15.62]","(207.4, 213.3]","(4860.0, 5220.0]"
343,Gentoo,"(48.6, 51.35]","(15.62, 16.46]","(207.4, 213.3]","(5220.0, 5580.0]"
